% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
6.562	1	1	2	1.76517e+06	0
6.601	1	2	1	1.76517e+06	0
6.602	1	1	2	1.76517e+06	0
6.641	1	2	1	1.76517e+06	0
6.642	1	1	2	1.76517e+06	0
6.681	1	2	1	1.76517e+06	0
6.682	1	1	2	1.76517e+06	0
6.721	1	2	1	1.76517e+06	0
6.722	1	1	2	1.76517e+06	0
6.761	1	2	1	1.76517e+06	0
6.762	1	1	2	1.76517e+06	0
6.801	1	2	1	1.76517e+06	0
6.802	1	1	2	1.76517e+06	0
6.841	1	2	1	1.76517e+06	0
6.842	1	1	2	1.76517e+06	0
6.881	1	2	1	1.76517e+06	0
6.882	1	1	2	1.76517e+06	0
6.921	1	2	1	1.76517e+06	0
6.922	1	1	2	1.76517e+06	0
6.961	1	2	1	1.76517e+06	0
6.962	1	1	2	1.76517e+06	0
7.001	1	2	1	1.76517e+06	0
7.002	1	1	2	1.76517e+06	0
7.041	1	2	1	1.76517e+06	0
7.042	1	1	2	1.76517e+06	0
7.081	1	2	1	1.76517e+06	0
7.082	1	1	2	1.76517e+06	0
7.121	1	2	1	1.76517e+06	0
7.122	1	1	2	1.76517e+06	0
7.161	1	2	1	1.76517e+06	0
7.162	1	1	2	1.76517e+06	0
7.201	1	2	1	1.76517e+06	0
7.202	1	1	2	1.76517e+06	0
7.241	1	2	1	1.76517e+06	0
7.242	1	1	2	1.76517e+06	0
7.281	1	2	1	1.76517e+06	0
7.282	1	1	2	1.76517e+06	0
7.321	1	2	1	1.76517e+06	0
7.322	1	1	2	1.76517e+06	0
7.361	1	2	1	1.76517e+06	0
7.362	1	1	2	1.76517e+06	0
7.401	1	2	1	1.76517e+06	0
7.402	1	1	2	1.76517e+06	0
7.441	1	2	1	1.76517e+06	0
7.442	1	1	2	1.76517e+06	0
7.481	1	2	1	1.76517e+06	0
7.482	1	1	2	1.76517e+06	0
7.521	1	2	1	1.76517e+06	0
7.522	1	1	2	1.76517e+06	0
7.561	1	2	1	1.76517e+06	0
7.562	1	1	2	1.76517e+06	0
7.601	1	2	1	1.76517e+06	0
7.602	1	1	2	1.76517e+06	0
7.641	1	2	1	1.76517e+06	0
7.642	1	1	2	1.76517e+06	0
7.681	1	2	1	1.76517e+06	0
7.682	1	1	2	1.76517e+06	0
7.721	1	2	1	1.76517e+06	0
7.722	1	1	2	1.76517e+06	0
7.761	1	2	1	1.76517e+06	0
7.762	1	1	2	1.76517e+06	0
7.801	1	2	1	1.76517e+06	0
7.802	1	1	2	1.76517e+06	0
7.841	1	2	1	1.76517e+06	0
7.842	1	1	2	1.76517e+06	0
7.881	1	2	1	1.76517e+06	0
7.882	1	1	2	1.76517e+06	0
7.921	1	2	1	1.76517e+06	0
7.922	1	1	2	1.76517e+06	0
7.961	1	2	1	1.76517e+06	0
